title,location,size,price
4 Bed House with En Suite in Thigiri,"Thigiri, Westlands",4 bedroom refurbished house to rent in thigiri,350000.0
4 Bed Townhouse with Swimming Pool in Lavington,Lavington,MODERN AND HIGH-END 4 BEDROOMS TOWNHOUSE WITH S...,350000.0
4 Bed House with En Suite in Runda,"Runda, Westlands","4 bedroom house to rent in runda,",400000.0
2 Bed House with Garden in Karen,Karen,A two bedroom cottage for rent in Karen.,120000.0
5 Bed Townhouse with En Suite at Abaserian,"Abaserian, Lavington",5 bedroom townhouse to rent in Lavington,250000.0
4 Bed House with En Suite in Nyari,"Nyari, Westlands",4 Bedroom house to let in Nyari,350000.0
5 Bed House with En Suite in Lavington,Lavington,5 Bedroom Townhouse for Rent,350000.0
6 Bed House with Swimming Pool in Karen,Karen,BEAUTIFUL AND LUXURIOUS 6 BEDROOMS VILLA ON 0.5...,300000.0
5 Bed Villa with Garden in Karen,Karen,EXQUISITE 5 BEDROOMS VILLA SITTING ON 0.5 OF AN...,300000.0
4 Bed Townhouse with Garden in Kilimani,"Off riara rd kilimani, Kilimani",A 4bdrm townhouse to let in kilimani.,200000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",4 bedroom house to rent in Runda (Kenya) 3KE161...,200000.0
4 Bed Townhouse in Lavington,Lavington,BEAUTIFUL 4 BEDROOMS TOWNHOUSE WITH PRIVATE GAR...,170000.0
5 Bed Townhouse in Lavington,Lavington,LAVISH 5 BEDROOMS TOWNHOUSE PLUS DSQ AND BEAUTI...,300000.0
5 Bed Townhouse in Brookside,"Brookside, Westlands",Brookside 5 bedrooms town house to let,200000.0
3 Bed House in Ridgeways,Ridgeways,Ridgeways 3 bedroom bungalow to let,432000.0
5 Bed Villa in Karen,Karen,GORGEOUS 5 BEDROOMS VILLA SITTING ON 0.5 OF AN...,430000.0
3 Bed Townhouse in Kilimani,Kilimani,Kilimani 3 bedrooms all ensuite to let,160000.0
4 Bed Townhouse with En Suite in Lower Kabete,"Lower Kabete, Westlands",Lower kabete 4 bedrooms all ensuite plus sq tow...,400000.0
3 Bed House at Membley,"Membley, Ruiru",Membley Massionette,40000.0
4 Bed Townhouse in Kileleshwa,Kileleshwa,MARVELLOUS 4 BEDROOMS TOWNHOUSE PLUS DSQ AND S/...,320000.0
4 Bed House at Mukabi Road,"Mukabi road, Loresho, Westlands",Loresho mukabi 4 bedrooms master ensuite bungal...,120000.0
4 Bed House with En Suite at Karen,Karen,"Karen | 4 Bedroom | Kshs. 100,000/=",100000.0
4 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,4 bedroom townhouse for rent in kileleshwa,350000.0
5 Bed House with En Suite in Syokimau,Syokimau,Own Compound Townhouse to Let in Syokimau,65000.0
5 Bed Townhouse with En Suite in Brookside,"Brookside, Westlands",Stunning 5Bedroom Townhouse to let in Brookside...,150000.0
4 Bed Townhouse with En Suite in Westlands Area,"Westlands Area, Westlands",Newly Renovated Four Bedrooms House For Rent In...,240000.0
6 Bed House with En Suite in Nyari,"Nyari, Westlands",6Br Standalone house in Nyari,370000.0
4 Bed Townhouse with En Suite in Brookside,"Brookside, Westlands",4 bed townhouse in Brookside,350000.0
3 Bed House with En Suite at Bomas Of Kenya,"Bomas of kenya, Karen",THREE BEDROOM COTTAGE FOR RENT IN KAREN NAIROBI...,150000.0
4 Bed House with Garden at Valley Arcade,"Valley Arcade, Lavington",THREE BED BUNGALOW WITH A GUEST WING IN VALLEY...,200000.0
5 Bed House with En Suite at Karen,"O, Karen",5 BEDROOM HOUSE FOR RENT IN KAREN,180000.0
4 Bed House with En Suite at Karen Area,"Karen area, Karen",4 BEDROOM HOUSE FOR RENT IN KAREN,250000.0
5 Bed Villa with En Suite at La-Marina Mtwapa,"Mtwapa, La-marina Mtwapa",Fully furnished 5 Bedrooms facing the creek bea...,30000.0
1 Bed House with En Suite at Karen Area,"Karen area, Karen",1 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,70000.0
4 Bed House with En Suite in Karen,Karen,The Standalone,200000.0
5 Bed House with En Suite at Loresho Ridge,"78, Loresho Ridge, Kyuna, Westlands",This gorgeous 5-bedroom house is just perfect f...,500000.0
5 Bed House with En Suite at Runda,"Off Ruaka road, Ruaka road, Runda, Westlands",Amazing 5 Bedroom Family Home For Rent,380000.0
3 Bed House with En Suite in Lower Kabete,"Lower Kabete, Westlands","3 Bedroom House, Lower Kabete Road, Westlands",180000.0
6 Bed House with En Suite in Runda,"Runda, Westlands",Ambassadorial house,410000.0
4 Bed Villa with En Suite in Diani,Diani,"Furnished 4 bedrooms villa, with swimming pool,...",15000.0
4 Bed Townhouse with En Suite at Kyuna,"Kyuna, Westlands",Kyuna Estate - 4 bedrooms Executive villas – T...,270000.0
5 Bed House with En Suite at Rosslyn Road,"67, Rosslyn Road, Rosslyn, Westlands",This spacious 5 bedroom house located in Rossly...,600000.0
4 Bed House with En Suite in Kiambu Road,Kiambu Road,4 bedroom house to rent in Kiambu Road - 3KE154...,150000.0
4 Bed House with Swimming Pool in Lake View,"Lakeview estate Nairobi, Lake View, Westlands",A modern 4bdrm family house to let in Lakeview...,3200.0
4 Bed House with Garden at Kilimani,Kilimani,"4br House, Kilimani",260000.0
3 Bed House in Lavington,Lavington,3 bedroom house to rent in Lavington,90000.0
4 Bed Villa with En Suite in Karen,Karen,Karen a modern 4bedrooms ambassadorial home fo...,450000.0
2 Bed House with Garden at Silanga Road,"Silanga road, Karen",2 BEDROOM HOUSE FOR RENT IN KAREN,50000.0
5 Bed Villa with En Suite at Watamu,Watamu,5 Bedrooms Beach villa available for Holiday,65000.0
4 Bed House with En Suite in Lavington,Lavington,4 Bedroom Duplex To Let in Lavington,150000.0
2 Bed House with En Suite in Runda,"Runda, Westlands",2br House in Runda,70000.0
3 Bed Townhouse with En Suite in Kilimani,Kilimani,BEAUTIFUL 3 BEDROOM TOWNHOUSE TO LET IN KILIMAN...,105000.0
4 Bed Villa with En Suite at Convent Drive,"Convent Drive, Lavington",Elegant 4 Bedroom Villa- Lavington- Convent Dri...,350000.0
2 Bed House with Garden in Runda,"Runda, Westlands",2 Bedroom Furnished Guest House For Rent In Run...,165000.0
5 Bed Townhouse with En Suite in Lavington,Lavington,Executive 5Bedroom Townhouse to Let in Lavingto...,350000.0
6 Bed House with En Suite at Karen Hardy,"O, Karen hardy, Karen",6 BEDROOM HOUSE FOR RENT IN KAREN,450000.0
5 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",Modern Impressive 5 Bedroom Villa For Rent in W...,467000.0
5 Bed Townhouse with En Suite in Karura,"Karura, Westlands",5 BEDROOOM APARTMENT FOR RENT WESTLANDS,250000.0
4 Bed House with En Suite at Lenana Road,"Lenana Road, Kilimani",Charming 4 Bedroom House Plus Dsq,250000.0
5 Bed House with En Suite at Runda,"Runda, Westlands","5br House, Runda",380000.0
5 Bed Townhouse with En Suite in Lavington,Lavington,Modern 5 Bedroom plus dsq for Rent in Lavington,200000.0
5 Bed House with En Suite at Farasi Lane,"78, Farasi Lane, Lower Kabete, Westlands",Serene Tranquility! 5 Bedroom Family Home withi...,300000.0
4 Bed Townhouse with En Suite at Westlands Estate.,"0308m/0314p, Brookside Drive, Westlands estate., Brookside, Westlands",Fully furnished exquisitely designed four bedro...,400000.0
5 Bed House with Swimming Pool in Kitisuru,"Kitisuru, Westlands",Luxurious Living,1100000.0
5 Bed House with En Suite at Karen,Karen,5 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,340000.0
4 Bed House with Garden at Nyari,"Nyari, Westlands","4br House, Nyari",280000.0
4 Bed Townhouse with En Suite at Mwingi Court,"090, Mwingi Court, Kileleshwa",Adorable 4 bedroom house for rent 4 Bedroom ALL...,180000.0
5 Bed Townhouse with En Suite in Rosslyn,"Rosslyn, Westlands",Luxury Living! Rosslyn Five Bedroom Villa For R...,500000.0
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",4/5 Bedroom House Plus Dsq,430000.0
4 Bed House with En Suite at Karen,Karen,4 BEDROOM HOUSE FOR RENT IN KAREN,350000.0
5 Bed Townhouse with En Suite at Ushirka Road,"Ushirka road, Karen Hardy",4 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,250000.0
